"location","count ( location )"
"LOT M - EAST","169"
"LOT C","29"
"PARKING STRUCTURE 1","25"
"LOT H","21"
"PARKING STRUCTURE 4","21"
"APTS/PHASE 9","20"
"PARKING STRUCTURE 3","16"
"LOT M SOUTHEAST 1 (GLD)","14"
"LOT M-  SOUTH","12"
"LOT J","11"
"LOT A","10"
"SPN LOT","10"
"LOT N","8"
"LOT T - CAMPUS","5"
"APTS/PHASE 3","4"
"LOT B","4"
"LOT F - VCB","3"
"LOT P","3"
"LOT I","3"
"APTS/PHASE 7","2"
"APTS/PHASE 2","2"
"LOT D","2"
"LOT Q","1"
"Canyon Creek Heights South","1"
"APTS/PHASE 1","1"
"CANYON CREEEK HEIGHTS LOADING ZN","1"
"APTS/PHASE 8A","1"
"VEGA HALL LOT","1"
